Volume Fraction (%),Pore Size (nm)
2.7446269573437854,-5.9754372648721965,EPDM
10.10592837596523,-6.383755447641319,EPDM
10.986523811059163,-6.394479832033052,EPDM
2.7446269573437854,10.174158298172031,EPDM
10.10592837596523,18.44909911921016,EPDM
10.986523811059163,13.59730388821506,EPDM
2.7446269573437854,4.278249912466315,P4VP
10.10592837596523,5.25177215565732,P4VP
10.986523811059163,8.659777509495404,P4VP
2.7446269573437854,4.889838302723543,Poly(alpha-methylstyrene)
10.10592837596523,4.522998343549632,Poly(alpha-methylstyrene)
10.986523811059163,4.438726629732407,Poly(alpha-methylstyrene)
2.7446269573437854,6.708791538342446,DGEBD
10.10592837596523,39.27987462175295,DGEBD
10.986523811059163,28.18217148065218,DGEBD
