Calcination Time (h),Thermal Resistance (K/W)
2,8.239575681165057,
5,7.662290099998281,
12,7.472105294698209,
13,7.464882355157929,
15,7.457996606027443,
18,7.451555152641864,
2,6.116705074101525,
5,6.147445410041306,
12,5.822962929996977,
13,5.785912864875511,
15,5.765633336201483,
18,5.6905388146373035,
2,-3.447500830042938,
5,-3.945847428183974,
12,1.068972168312314,
13,0.6613107604330839,
15,2.3829131323635675,
18,-2.4856114382013295,
2,-5.7717624785464725,
5,-3.638747763252721,
12,12.080765266526061,
13,90.52943011608176,
15,162.29750551471247,
18,54.451307549229824,
