Filler Content (%),Thermal Conductivity (W/(m·K))
3,-6.833090360052324,PHEA
5,-6.923354162346174,PHEA
6,-6.995888869163221,PHEA
8,-7.1141051093127,PHEA
12,-7.241660609439143,PHEA
3,2.9265981441154425,PVC
5,2.8574791524116154,PVC
6,2.605335552362462,PVC
8,2.5582442462059225,PVC
12,2.47373098775898,PVC
3,8.780152233139486,Poly(2-hydroxyethyl acrylate)
5,8.293969864112674,Poly(2-hydroxyethyl acrylate)
6,8.820228675455922,Poly(2-hydroxyethyl acrylate)
8,9.468176693761663,Poly(2-hydroxyethyl acrylate)
12,7.9759793470705995,Poly(2-hydroxyethyl acrylate)
3,1.7077230354630542,Poly(ethylene-vinyl acetate)
5,1.5300655454305574,Poly(ethylene-vinyl acetate)
6,1.455864412547008,Poly(ethylene-vinyl acetate)
8,1.397724383225478,Poly(ethylene-vinyl acetate)
12,1.3391749575632828,Poly(ethylene-vinyl acetate)
