Aspect Ratio,Compression Strength (MPa)
0,7.761498153227391,Morrocan montmorillonite/Poly(tetrafluoroethylene)
1,7.254940197689854,Morrocan montmorillonite/Poly(tetrafluoroethylene)
8,6.832827022346786,Morrocan montmorillonite/Poly(tetrafluoroethylene)
14,6.648499745925196,Morrocan montmorillonite/Poly(tetrafluoroethylene)
1,-6.2762924571291565,Molybdenum Disulphide/Poly(tetrafluoroethylene)
8,2.931780500688639,Molybdenum Disulphide/Poly(tetrafluoroethylene)
10,16.843512003153574,Molybdenum Disulphide/Poly(tetrafluoroethylene)
11,28.45144750587545,Molybdenum Disulphide/Poly(tetrafluoroethylene)
2,9.133405417418905,CaCO3/Poly(tetrafluoroethylene)
4,9.413615849184202,CaCO3/Poly(tetrafluoroethylene)
14,11.156050316420956,CaCO3/Poly(tetrafluoroethylene)
16,10.478689147262052,CaCO3/Poly(tetrafluoroethylene)
8,2.0399973230286252,montmorillonite/Poly(tetrafluoroethylene)
10,2.0012119690610644,montmorillonite/Poly(tetrafluoroethylene)
18,1.954101243900956,montmorillonite/Poly(tetrafluoroethylene)
19,1.9528091760228217,montmorillonite/Poly(tetrafluoroethylene)
0,7.912525715259225,Zirconium dioxide/Poly(tetrafluoroethylene)
6,7.206140791763092,Zirconium dioxide/Poly(tetrafluoroethylene)
7,7.165473706168769,Zirconium dioxide/Poly(tetrafluoroethylene)
12,7.064603191611824,Zirconium dioxide/Poly(tetrafluoroethylene)
