EV (V),Hysteresis Loss (J/m³)
2,8.502445421974924,Fluorine mica/PBuA
6,8.476797236508842,Fluorine mica/PBuA
10,8.287103710376549,Fluorine mica/PBuA
14,8.181766306247939,Fluorine mica/PBuA
18,8.107560376743582,Fluorine mica/PBuA
2,-4.675475178469697,single-walled CNT/PBuA
6,-5.095948437085012,single-walled CNT/PBuA
10,-5.199855606895043,single-walled CNT/PBuA
14,-5.231938071902452,single-walled CNT/PBuA
18,-5.243402538608243,single-walled CNT/PBuA
2,4.701411205793027,ZrO2/PBuA
6,4.142275488145185,ZrO2/PBuA
10,3.850948121561795,ZrO2/PBuA
14,3.743440527348635,ZrO2/PBuA
18,3.6697663886470226,ZrO2/PBuA
2,6.779170727198287,SAF/PBuA
6,6.464356099780305,SAF/PBuA
10,6.354063487229696,SAF/PBuA
14,6.317465458965486,SAF/PBuA
18,6.3069185680002615,SAF/PBuA
2,1.4054030217514952,SWNT/PBuA
6,8.891709960576113,SWNT/PBuA
10,-3.159195241871032,SWNT/PBuA
14,98.78460412313949,SWNT/PBuA
18,-227.86232361898192,SWNT/PBuA
