Aspect Ratio,Kinematic Viscosity (mm²/s)
3.0221876603197395,0.822754499315455,Nylon 6T
9.423431614311967,7.8590875840929435,Nylon 6T
16.389129211813323,-3.0116781858747608,Nylon 6T
16.848830022167245,78.6600166187075,Nylon 6T
2.7502135509724113,2.526953055597346,Cellulose acetate butyrate
5.625976553465641,2.307631010874555,Cellulose acetate butyrate
11.092836430905542,2.152364208457603,Cellulose acetate butyrate
13.836443906314164,2.127915889445071,Cellulose acetate butyrate
0.4918872126802154,2.7942950629757193,PBT
3.5281959580071365,2.5965552296926537,PBT
4.9982690055113626,2.3834155379450004,PBT
14.500001830258906,2.200993371729029,PBT
