Particle Size (nm),Electrical Resistivity (Ω·m)
0.18625887354516424,7.805385583408735,TPP/E-SBR
3.0166828046085525,7.69967999397619,TPP/E-SBR
7.169461044396483,7.357586834820886,TPP/E-SBR
14.45803935022557,7.04706815792057,TPP/E-SBR
0.18625887354516424,2.3858902775732,clay/E-SBR
3.0166828046085525,1.9010098691213089,clay/E-SBR
7.169461044396483,1.8077624536750005,clay/E-SBR
14.45803935022557,1.5116323750230345,clay/E-SBR
0.18625887354516424,-2.0705008772848834,multi-walled CNT/E-SBR
3.0166828046085525,-2.361066797061186,multi-walled CNT/E-SBR
7.169461044396483,-2.650097360449095,multi-walled CNT/E-SBR
14.45803935022557,-2.8500221885903616,multi-walled CNT/E-SBR
