Reaction Temperature (°C),Poisson’s Ratio
6.867928778009538,5.4329900546240575,0.25% high abrasion furnace black/PU
7.8577840576034745,13.094957842675255,0.25% high abrasion furnace black/PU
16.15758106214349,0.36098309508057724,0.25% high abrasion furnace black/PU
17.845089513071965,338.10006857325163,0.25% high abrasion furnace black/PU
2,-0.3586687306193711,0.88% high abrasion furnace black/PU
3,-0.4298407061881496,0.88% high abrasion furnace black/PU
13,-1.0134912077553693,0.88% high abrasion furnace black/PU
14,-1.0323246879184427,0.88% high abrasion furnace black/PU
1.1413895499264703,1.937516929200583,0.49% high abrasion furnace black/PU
6.509879230386932,2.2356801546460447,0.49% high abrasion furnace black/PU
10.4769719725442,6.884693167461602,0.49% high abrasion furnace black/PU
12.280425628756614,5.956790302305361,0.49% high abrasion furnace black/PU
