Filler Content (%),Oxidation Potential (V)
7.89219327897518,-2.615602209841604,Nylon 66
12.867844449598124,-2.808526271435095,Nylon 66
12.910243212568611,-2.807390898759888,Nylon 66
7.89219327897518,-3.686964675836598,Nylon 8
12.867844449598124,-3.7634411131050602,Nylon 8
12.910243212568611,-3.761589186087466,Nylon 8
7.89219327897518,18.62688281267425,PB
12.867844449598124,29.157817835721715,PB
12.910243212568611,88.89495145567578,PB
7.89219327897518,-1.1246124279027194,Polychlorotrifluoroethylene
12.867844449598124,-1.3052096478788757,Polychlorotrifluoroethylene
12.910243212568611,-1.3256839215101814,Polychlorotrifluoroethylene
7.89219327897518,5.806222579115856,Poly(alpha-methylstyrene)
12.867844449598124,5.532689785344139,Poly(alpha-methylstyrene)
12.910243212568611,8.224692447923559,Poly(alpha-methylstyrene)
