Dielectric Loss,Reduction Potential (V)
0,-3.697110807679457,0.25% Silicon carbide/PA 12
2,-3.616126003376342,0.25% Silicon carbide/PA 12
3,-3.7408596702040393,0.25% Silicon carbide/PA 12
15,-4.413590795891112,0.25% Silicon carbide/PA 12
0,6.810634738463807,0.94% Silicon carbide/PA 12
2,7.183183732912916,0.94% Silicon carbide/PA 12
3,7.74104172584634,0.94% Silicon carbide/PA 12
15,16.21557760358015,0.94% Silicon carbide/PA 12
0,5.805728834467918,0.02% Silicon carbide/PA 12
2,5.437081400019529,0.02% Silicon carbide/PA 12
3,5.462987526347943,0.02% Silicon carbide/PA 12
15,5.018964820109941,0.02% Silicon carbide/PA 12
0,8.040669713653827,0.31% Silicon carbide/PA 12
2,7.771999138323078,0.31% Silicon carbide/PA 12
3,7.838261657132526,0.31% Silicon carbide/PA 12
15,7.277510283353422,0.31% Silicon carbide/PA 12
0,-2.7961612230438004,0.42% Silicon carbide/PA 12
2,-3.0430997589605795,0.42% Silicon carbide/PA 12
3,-3.0611821038636586,0.42% Silicon carbide/PA 12
15,-3.46198413810859,0.42% Silicon carbide/PA 12
