Glass Transition Temperature (°C),Thermal Stability (°C)
0,-0.006327988747605207,0.7% MWNTs
4,-0.40314533311156925,0.7% MWNTs
6,-0.5188889520399202,0.7% MWNTs
17,-0.7086807271862069,0.7% MWNTs
0,-3.5563785358549866,0.26% MWNTs
4,-4.55604284707615,0.26% MWNTs
6,-4.658465532886191,0.26% MWNTs
17,-4.839957043314194,0.26% MWNTs
0,-4.176933010785629,0.33% MWNTs
4,-0.5491409896753945,0.33% MWNTs
6,4.461348781363483,0.33% MWNTs
17,27.54696583201956,0.33% MWNTs
0,3.8707723320426606,0.46% MWNTs
4,6.5515919441187656,0.46% MWNTs
6,6.384994743065258,0.46% MWNTs
17,112.40249095456738,0.46% MWNTs
