Nanoparticle Mass (%),Surface Area (m²/g)
4.743479017990319,1.9766667857483375,PAM
11.9355011887434,0.033598058408319975,PAM
13.145065442518506,-1.0344483677147998,PAM
4.743479017990319,9.001432351690234,PMMA
11.9355011887434,82.67248163900386,PMMA
13.145065442518506,39.24322815904237,PMMA
4.743479017990319,1.2101023531411779,Poly(ethylene)
11.9355011887434,0.7533350521317734,Poly(ethylene)
13.145065442518506,3.5953444202574,Poly(ethylene)
4.743479017990319,5.2532028705928795,PBTP
11.9355011887434,4.991224401882189,PBTP
13.145065442518506,4.982794422678083,PBTP
