Storage Time (days),Zeta Potential (mV)
11,1.3815371162878183,0.37% barium strontium titanate
14,1.361578505471256,0.37% barium strontium titanate
15,1.3559626120779114,0.37% barium strontium titanate
17,1.3518527097150148,0.37% barium strontium titanate
11,-1.5637401747912207,0.7% barium strontium titanate
14,-1.748249531651096,0.7% barium strontium titanate
15,-12.656616767505604,0.7% barium strontium titanate
17,1.6580451685373028,0.7% barium strontium titanate
11,4.892032548017736,0.47% barium strontium titanate
14,4.870165315897528,0.47% barium strontium titanate
15,4.865890223650704,0.47% barium strontium titanate
17,4.860973111354932,0.47% barium strontium titanate
11,-1.4435444217494693,0.32% barium strontium titanate
14,-1.4663107881511492,0.32% barium strontium titanate
15,-1.4718031516880927,0.32% barium strontium titanate
17,-1.4758477147081313,0.32% barium strontium titanate
