X-ray Dose (Gy),Elastic Modulus (GPa)
4,7.2652551312226485,exfoliated graphene/P4VP
10,14.524095899965609,exfoliated graphene/P4VP
11,20.87948988230298,exfoliated graphene/P4VP
13,116.51958125359614,exfoliated graphene/P4VP
15,36.456667674653886,exfoliated graphene/P4VP
6.0728678182923375,-4.459720642683198,AuNPs/P4VP
6.622369891835693,-4.459872969070888,AuNPs/P4VP
11.572579527071834,-4.588542955472264,AuNPs/P4VP
17.383364092462855,-4.616960049680826,AuNPs/P4VP
18.854459457983545,-4.618982336816744,AuNPs/P4VP
0.7893822843928522,1.0758229778016304,clay/P4VP
2.5668822745344144,0.6796205330543359,clay/P4VP
4.481731529367348,0.5594940972836935,clay/P4VP
6.952252803414192,0.4154929153497533,clay/P4VP
12.780388490317618,0.31290152728022946,clay/P4VP
