Curing Temperature (°C),Kinematic Viscosity (mm²/s)
2,0.07664923312551775,0.75% CCTO/S-EB-S
10,4.0661186119709125,0.75% CCTO/S-EB-S
16,3.486943744603032,0.75% CCTO/S-EB-S
2,-3.5296762379786486,0.11% CCTO/S-EB-S
10,31.69809885167097,0.11% CCTO/S-EB-S
16,65.8379603581514,0.11% CCTO/S-EB-S
2,8.516619378997996,0.99% CCTO/S-EB-S
10,21.05858416098012,0.99% CCTO/S-EB-S
16,443.98926835615254,0.99% CCTO/S-EB-S
2,6.994978284073659,0.6% CCTO/S-EB-S
10,36.21084877703989,0.6% CCTO/S-EB-S
16,133.05042508184056,0.6% CCTO/S-EB-S
2,2.051458054872721,0.81% CCTO/S-EB-S
10,3.4047065069055726,0.81% CCTO/S-EB-S
16,10.518641929118418,0.81% CCTO/S-EB-S
