Reaction Time (h),Toughness (MJ/m³)
7.59554865960038,-1.3804424064428509,0.31% graphite (as received)/P(VDF-CTFE)
7.820250124843307,-1.3767532659713189,0.31% graphite (as received)/P(VDF-CTFE)
13.317648696955125,-1.4619608674458004,0.31% graphite (as received)/P(VDF-CTFE)
7.59554865960038,0.4982159341657343,0.43% graphite (as received)/P(VDF-CTFE)
7.820250124843307,0.5027005225939103,0.43% graphite (as received)/P(VDF-CTFE)
13.317648696955125,0.41703278107796393,0.43% graphite (as received)/P(VDF-CTFE)
7.59554865960038,-6.322384331336599,1.0% graphite (as received)/P(VDF-CTFE)
7.820250124843307,-6.443497018396851,1.0% graphite (as received)/P(VDF-CTFE)
13.317648696955125,-6.636333272474227,1.0% graphite (as received)/P(VDF-CTFE)
7.59554865960038,3.6971783944392023,0.17% graphite (as received)/P(VDF-CTFE)
7.820250124843307,3.678738709512658,0.17% graphite (as received)/P(VDF-CTFE)
13.317648696955125,3.6128034519205414,0.17% graphite (as received)/P(VDF-CTFE)
