Stress (Pa),Elastic Modulus (GPa)
5,-2.677976722300707,0.91% silver
13,-2.9360369083955478,0.91% silver
19,-3.063118088391325,0.91% silver
5,-2.2379649742317542,0.66% silver
13,-2.329593485042128,0.66% silver
19,9.126412546770498,0.66% silver
5,2.477088017298168,0.04% silver
13,3.8373053360812133,0.04% silver
19,14.723725799579034,0.04% silver
5,6.0430915241695695,0.56% silver
13,5.569970644040487,0.56% silver
19,5.465106982221751,0.56% silver
5,2.875878693959938,0.47% silver
13,2.6881195371093276,0.47% silver
19,2.6716888862839068,0.47% silver
