Stirring Speed (rpm),Magnetoresistance
1.8415526050082365,-6.640837701322546,PA 6(3)T
11.511134516628285,-7.196714357605677,PA 6(3)T
12.553635010010016,-7.231871534242284,PA 6(3)T
15.839904014101885,-7.31186017939262,PA 6(3)T
12.166262431235976,-3.714900983296879,PVA
12.521582523511972,-3.718834735604983,PVA
15.871707160188208,-3.731489194028524,PVA
18.119485098801253,-3.736010523148052,PVA
9,5.56429360444221,PAI
10,5.559824048517832,PAI
11,5.530675855855251,PAI
16,5.36576961886275,PAI
0.7387292827172298,5.565434725254084,PVA
8.381420326448596,5.248691641882951,PVA
9.68878209510801,5.195996177269983,PVA
14.04768125793174,5.056841844497847,PVA
6,6.947651570011926,COC
13,6.636606303859009,COC
18,6.535928204777625,COC
19,6.519979397999494,COC
