wt%,Particle Size (nm)
0.20845125492603866,-0.2597042491014905,Silicon carbide/PVDF
7.2018927539666455,-0.5248002778750511,Silicon carbide/PVDF
7.939774505369879,-0.645895429561919,Silicon carbide/PVDF
15.17057698879539,-0.8587393979718505,Silicon carbide/PVDF
16.921877837085898,-0.9036082654369254,Silicon carbide/PVDF
19.885365434803987,-0.929755544165217,Silicon carbide/PVDF
0.20845125492603866,1.8873535020391223,Molybdenum disulfide/PVDF
7.2018927539666455,1.070188151440163,Molybdenum disulfide/PVDF
7.939774505369879,1.066782720973375,Molybdenum disulfide/PVDF
15.17057698879539,0.9755575487897078,Molybdenum disulfide/PVDF
16.921877837085898,0.9710951321534566,Molybdenum disulfide/PVDF
19.885365434803987,0.9677365786476876,Molybdenum disulfide/PVDF
0.20845125492603866,8.117557626343723,CCTO/PVDF
7.2018927539666455,7.446690859093266,CCTO/PVDF
7.939774505369879,7.458946094859929,CCTO/PVDF
15.17057698879539,7.360696255317871,CCTO/PVDF
16.921877837085898,7.3564331431271075,CCTO/PVDF
19.885365434803987,7.352633756147962,CCTO/PVDF
0.20845125492603866,7.79078021323523,Morrocan montmorillonite/PVDF
7.2018927539666455,9.366646443045436,Morrocan montmorillonite/PVDF
7.939774505369879,8.261997218483467,Morrocan montmorillonite/PVDF
15.17057698879539,9.484402466761388,Morrocan montmorillonite/PVDF
16.921877837085898,4.2257155669221795,Morrocan montmorillonite/PVDF
19.885365434803987,8.89956747209932,Morrocan montmorillonite/PVDF
