Synthesis Temperature (°C),Electronic Conductivity (S/m)
4.067686918742814,11.607545401370794,PETP
8.547597229661527,23.702083687591536,PETP
14.016549591614867,189.1850971029162,PETP
18.954856808549557,157.2520251944491,PETP
4.067686918742814,0.6771413298967293,TPU
8.547597229661527,15.594253424943403,TPU
14.016549591614867,43.62695346379975,TPU
18.954856808549557,-43.09829172783382,TPU
4.067686918742814,0.7459388234103468,Nylon 12
8.547597229661527,10.719597331850416,Nylon 12
14.016549591614867,-13.913697175907615,Nylon 12
18.954856808549557,-99.97640803210874,Nylon 12
4.067686918742814,-5.752140311585619,Thermoplastic polyurethane
8.547597229661527,-5.950777467942415,Thermoplastic polyurethane
14.016549591614867,-6.027823137104407,Thermoplastic polyurethane
18.954856808549557,-6.039699832756542,Thermoplastic polyurethane
