Pressure (Pa),Hardness (HV)
3,-1.1059512366610553,Channel black/Polybutylene succinate
8,-1.429322530303005,Channel black/Polybutylene succinate
11,-1.5362912965457873,Channel black/Polybutylene succinate
12,-1.5745970722934932,Channel black/Polybutylene succinate
13,-1.6309492482047452,Channel black/Polybutylene succinate
14,-1.6346128147363717,Channel black/Polybutylene succinate
3,-3.8063107181115132,Zirconium dioxide/Polybutylene succinate
8,4.971821693406145,Zirconium dioxide/Polybutylene succinate
11,11.970550889992532,Zirconium dioxide/Polybutylene succinate
12,20.903795964435837,Zirconium dioxide/Polybutylene succinate
13,-40.99133158999477,Zirconium dioxide/Polybutylene succinate
14,69.73987012415057,Zirconium dioxide/Polybutylene succinate
3,7.134217150563545,Lamp black/Polybutylene succinate
8,6.830122102979185,Lamp black/Polybutylene succinate
11,6.721685337451435,Lamp black/Polybutylene succinate
12,6.671894461973331,Lamp black/Polybutylene succinate
13,6.65504979343409,Lamp black/Polybutylene succinate
14,6.627572228147789,Lamp black/Polybutylene succinate
3,5.265316322048714,silver hexafluoroantimonate/Polybutylene succinate
8,4.976942761907325,silver hexafluoroantimonate/Polybutylene succinate
11,4.911397161900002,silver hexafluoroantimonate/Polybutylene succinate
12,4.897212195457948,silver hexafluoroantimonate/Polybutylene succinate
13,4.8934171856030355,silver hexafluoroantimonate/Polybutylene succinate
14,4.886267353774987,silver hexafluoroantimonate/Polybutylene succinate
3,-2.7431095719673007,Multi-wall carbon nanotubes/Polybutylene succinate
8,-4.73659301592569,Multi-wall carbon nanotubes/Polybutylene succinate
11,-0.8411099636804074,Multi-wall carbon nanotubes/Polybutylene succinate
12,0.8394629925624466,Multi-wall carbon nanotubes/Polybutylene succinate
13,-0.9484076204301055,Multi-wall carbon nanotubes/Polybutylene succinate
14,-4.579661087412203,Multi-wall carbon nanotubes/Polybutylene succinate
