Specific Surface Area (m²/g),Conductivity (S/m)
0.24775305218094568,0.4750897180837699,0.68% single-walled CNTs/DGEBF
7.817692016188711,-0.402535231292817,0.68% single-walled CNTs/DGEBF
8.005542482909373,-0.40515775718413916,0.68% single-walled CNTs/DGEBF
11.565626078368547,-0.4724168110181023,0.68% single-walled CNTs/DGEBF
15.867623485225407,-0.49224351438828734,0.68% single-walled CNTs/DGEBF
17.89120101937655,-0.4959910950347496,0.68% single-walled CNTs/DGEBF
0.24775305218094568,3.2320845894764347,0.18% single-walled CNTs/DGEBF
7.817692016188711,2.300670839956682,0.18% single-walled CNTs/DGEBF
8.005542482909373,2.296912774312497,0.18% single-walled CNTs/DGEBF
11.565626078368547,2.2340768957137986,0.18% single-walled CNTs/DGEBF
15.867623485225407,2.211009048673487,0.18% single-walled CNTs/DGEBF
17.89120101937655,2.207703176476842,0.18% single-walled CNTs/DGEBF
0.24775305218094568,-0.31377516596395216,0.75% single-walled CNTs/DGEBF
7.817692016188711,-0.6792028223778485,0.75% single-walled CNTs/DGEBF
8.005542482909373,-0.6919684196235809,0.75% single-walled CNTs/DGEBF
11.565626078368547,-0.7490092477668974,0.75% single-walled CNTs/DGEBF
15.867623485225407,-0.7681204036803473,0.75% single-walled CNTs/DGEBF
17.89120101937655,-0.7722989714416811,0.75% single-walled CNTs/DGEBF
0.24775305218094568,0.09243358860896156,0.07% single-walled CNTs/DGEBF
7.817692016188711,-0.6211736227591559,0.07% single-walled CNTs/DGEBF
8.005542482909373,-0.6443752811375818,0.07% single-walled CNTs/DGEBF
11.565626078368547,-0.6933459348500282,0.07% single-walled CNTs/DGEBF
15.867623485225407,-0.718524487539812,0.07% single-walled CNTs/DGEBF
17.89120101937655,-0.7226321117374479,0.07% single-walled CNTs/DGEBF
0.24775305218094568,-0.7883902736406241,0.98% single-walled CNTs/DGEBF
7.817692016188711,9.866411595855563,0.98% single-walled CNTs/DGEBF
8.005542482909373,4.2664151085468855,0.98% single-walled CNTs/DGEBF
11.565626078368547,33.99335498789964,0.98% single-walled CNTs/DGEBF
15.867623485225407,64.38984734459213,0.98% single-walled CNTs/DGEBF
17.89120101937655,169.5273525121522,0.98% single-walled CNTs/DGEBF
