Softening Temperature (°C),Compressive Modulus (GPa)
1,2.544963770503912,PAMS
11,2.1115717752771004,PAMS
12,2.101538305562836,PAMS
16,1.9917709353066688,PAMS
19,1.9321941687738113,PAMS
1,-0.6221961114701364,UPR
11,-1.0380406536278082,UPR
12,-1.046155102938481,UPR
16,-1.0632599046094442,UPR
19,-1.067880542000237,UPR
1,0.2727463629029657,PEMA
11,-0.4691256234929845,PEMA
12,-0.4775459786479475,PEMA
16,-0.49407067206662325,PEMA
19,-0.49954091099360903,PEMA
1,-4.176411846290692,PAI
11,-4.695126629603455,PAI
12,-4.705049340460542,PAI
16,-4.726413524823897,PAI
19,-4.73154492586114,PAI
1,1.7038562458771151,Polyamide-imide
11,1.8139703157106064,Polyamide-imide
12,2.4564770453217655,Polyamide-imide
16,11.72515155904016,Polyamide-imide
19,2.0585726100217228,Polyamide-imide
