Particle Size (nm),Ionic Conductivity (S/m)
0.8439421939087532,3.1501012607142584,PTFE
1.0498644119367562,3.4807330900483273,PTFE
4.7399632034696815,4.124116439347016,PTFE
6.867279347130242,6.129271148789841,PTFE
11.076398387952706,8.130409620759725,PTFE
14.391435621878887,9.283824538251967,PTFE
0.8439421939087532,1.9386185968292522,Nylon 6T
1.0498644119367562,2.038136863501446,Nylon 6T
4.7399632034696815,1.4585184341458355,Nylon 6T
6.867279347130242,1.3557483019297825,Nylon 6T
11.076398387952706,1.2710323601993203,Nylon 6T
14.391435621878887,1.2450549942397013,Nylon 6T
0.8439421939087532,3.3757089964507188,Polylactic acid
1.0498644119367562,3.357554992971839,Polylactic acid
4.7399632034696815,2.982337002046186,Polylactic acid
6.867279347130242,2.8641360622357683,Polylactic acid
11.076398387952706,2.7741856279746058,Polylactic acid
14.391435621878887,2.7510394080561147,Polylactic acid
0.8439421939087532,-3.121556383583448,Poly(vinyl butyral)
1.0498644119367562,-2.787760770645716,Poly(vinyl butyral)
4.7399632034696815,-2.8159379939780456,Poly(vinyl butyral)
6.867279347130242,-2.9841089504988094,Poly(vinyl butyral)
11.076398387952706,-3.195484484685272,Poly(vinyl butyral)
14.391435621878887,-3.348187780347998,Poly(vinyl butyral)
