Decomposition Temperature (°C),Toughness (MJ/m³)
3.2313209557650535,5.5720344919383376,poly-HEMA
8.652695612254789,5.174224226198659,poly-HEMA
11.194425412774061,5.095550005495234,poly-HEMA
18.69783440484524,4.906192465442703,poly-HEMA
3.2313209557650535,5.847846687845284,PHEA
8.652695612254789,8.148963690925305,PHEA
11.194425412774061,7.112418038002801,PHEA
18.69783440484524,11.54845023344434,PHEA
3.2313209557650535,5.241128616058937,PEEK
8.652695612254789,5.048879006708015,PEEK
11.194425412774061,4.992029821275145,PEEK
18.69783440484524,4.848799743841969,PEEK
