Pore Size (nm),Saturation Magnetization (A/m)
0,2.2496623571853642,
10,27.83707725507464,
11,22.17119551893967,
14,88.3439422710257,
18,271.27028912280184,
0,-1.5353606515376996,
10,-2.559254056308528,
11,-2.5711574624269864,
14,-2.594553958963122,
18,-2.6042047722862223,
0,4.840566882169096,
10,4.251343617834858,
11,4.201944633116451,
14,4.10962535994154,
18,4.036292958413567,
0,-3.777648076114777,
10,-4.629668624178676,
11,-4.647380146880565,
14,-4.668975530956408,
18,-4.6780964457620415,
