Dispersing Time (min),Glass Transition Temperature (°C)
6.5228502752415585,1.8345299906660326,0.7%  Graphite/NVE
13.441997378315358,1.7119383900270786,0.7%  Graphite/NVE
18.925749934499805,1.6970505028103993,0.7%  Graphite/NVE
19.15581279248083,1.6970623237166262,0.7%  Graphite/NVE
6.5228502752415585,2.251755271402999,0.74%  Graphite/NVE
13.441997378315358,27.627386731079202,0.74%  Graphite/NVE
18.925749934499805,-289.210977812988,0.74%  Graphite/NVE
19.15581279248083,210.5020963411013,0.74%  Graphite/NVE
6.5228502752415585,3.916088497221214,0.83%  Graphite/NVE
13.441997378315358,4.982077729937561,0.83%  Graphite/NVE
18.925749934499805,-5.045446617714915,0.83%  Graphite/NVE
19.15581279248083,9.532629310012737,0.83%  Graphite/NVE
6.5228502752415585,4.358711922518713,0.44%  Graphite/NVE
13.441997378315358,7.795013519718094,0.44%  Graphite/NVE
18.925749934499805,2.298365833193685,0.44%  Graphite/NVE
19.15581279248083,7.91278798712008,0.44%  Graphite/NVE
6.5228502752415585,6.998766748507428,0.27%  Graphite/NVE
13.441997378315358,9.447835631330403,0.27%  Graphite/NVE
18.925749934499805,23.89212457718471,0.27%  Graphite/NVE
19.15581279248083,4.5001777050426615,0.27%  Graphite/NVE
