Stress (Pa),Fatigue Strength (MPa)
12,8.023318453616541,0.28% silica gel/S-SEBS
15,7.971900896931777,0.28% silica gel/S-SEBS
18,7.893878633131487,0.28% silica gel/S-SEBS
12,7.50382497541359,0.91% silica gel/S-SEBS
15,1.474148060609175,0.91% silica gel/S-SEBS
18,11.977508590080033,0.91% silica gel/S-SEBS
12,8.911500029386,0.95% silica gel/S-SEBS
15,15.09065188795443,0.95% silica gel/S-SEBS
18,22.949823796991353,0.95% silica gel/S-SEBS
12,11.729458824283725,0.27% silica gel/S-SEBS
15,11.804496178696848,0.27% silica gel/S-SEBS
18,11.21778830586674,0.27% silica gel/S-SEBS
