Pore Size (nm),Coefficient Of Thermal Expansion (1/K)
3,1.9335351651872204,0.88% MoS2
4,3.700047342387836,0.88% MoS2
8,3.4149467296483715,0.88% MoS2
10,9.098036535877194,0.88% MoS2
16,258.30104929534576,0.88% MoS2
17,5.657701195429029,0.88% MoS2
18,6.061108516861525,0.88% MoS2
3,-2.289387133426907,0.5% MoS2
4,-2.412783981246362,0.5% MoS2
8,-2.6596852774430673,0.5% MoS2
10,-2.7146457656116922,0.5% MoS2
16,-2.880677039863375,0.5% MoS2
17,-2.9040052450995466,0.5% MoS2
18,-2.92615911073383,0.5% MoS2
