Hardness (HV),Particle Size (nm)
2,4.776782763622201,GO/PA 11
4,7.2143715713894885,GO/PA 11
7,13.826674534444733,GO/PA 11
17,347.8513853502405,GO/PA 11
2,7.670912753381624,ZrO2/PA 11
4,7.769582842415395,ZrO2/PA 11
7,7.628683155011188,ZrO2/PA 11
17,7.2903627841044605,ZrO2/PA 11
2,-3.220672429661403,dodecylbenzene sulfonic acid/PA 11
4,-2.4743071456469146,dodecylbenzene sulfonic acid/PA 11
7,-1.6539544320398765,dodecylbenzene sulfonic acid/PA 11
17,-11.28646876899387,dodecylbenzene sulfonic acid/PA 11
2,3.3712450362909663,Magnesium oxide/PA 11
4,3.1005963834529076,Magnesium oxide/PA 11
7,2.9440884502947533,Magnesium oxide/PA 11
17,2.846575673694161,Magnesium oxide/PA 11
2,-6.623055811956156,SWNTs/PA 11
4,-6.824015283902699,SWNTs/PA 11
7,-6.917340863015185,SWNTs/PA 11
17,-7.230935268907538,SWNTs/PA 11
