Synthesis Time (min),Heat Capacity (J/K)
12.851603090034061,-5.542609733861829,0.23% Methoxy(dimethyl)octylsilane
13.621487903868587,-2.563437106845151,0.23% Methoxy(dimethyl)octylsilane
14.122701022720179,-3.3474074910226825,0.23% Methoxy(dimethyl)octylsilane
18.353520235440726,4.401692238502356,0.23% Methoxy(dimethyl)octylsilane
0,-3.4319107227181176,0.05% Methoxy(dimethyl)octylsilane
5,-3.864098159410004,0.05% Methoxy(dimethyl)octylsilane
8,-4.010780740661806,0.05% Methoxy(dimethyl)octylsilane
17,-4.239487938978714,0.05% Methoxy(dimethyl)octylsilane
1,-0.49640138990305505,0.92% Methoxy(dimethyl)octylsilane
2,0.09449779901613198,0.92% Methoxy(dimethyl)octylsilane
4,2.5122807642845935,0.92% Methoxy(dimethyl)octylsilane
10,8.609253143289367,0.92% Methoxy(dimethyl)octylsilane
2,5.969043066358615,0.46% Methoxy(dimethyl)octylsilane
3,5.864839115270122,0.46% Methoxy(dimethyl)octylsilane
8,5.5002479025450866,0.46% Methoxy(dimethyl)octylsilane
9,5.487716302870724,0.46% Methoxy(dimethyl)octylsilane
4,5.836341231616772,0.26% Methoxy(dimethyl)octylsilane
7,5.493555501253077,0.26% Methoxy(dimethyl)octylsilane
8,5.4407497893407335,0.26% Methoxy(dimethyl)octylsilane
12,5.307629913333831,0.26% Methoxy(dimethyl)octylsilane
