Thermal Diffusivity (mm²/s),Electrical Resistivity (Ω·m)
0,-0.4204774261524722,
3,-1.0289430474758943,
13,-1.379803659434884,
15,-1.3913942009590539,
19,-1.399564443274883,
0,-4.6141861340240835,
3,-4.255216157076477,
13,4.1822604913612675,
15,-2.5985468661308118,
19,8.82134570590729,
0,1.099361853513883,
3,3.709781562337254,
13,50.263145542135064,
15,353.38559096432533,
19,-1118.313651437558,
0,-0.34004621491990816,
3,-0.4017250427055218,
13,-0.8189383224670213,
15,-0.8981407025118181,
19,-0.950378036388336,
0,-6.006596271450867,
3,-6.676456837471844,
13,-7.069686326042645,
15,-7.080649089727094,
19,-7.087442044309476,
