Reaction Temperature (°C),Poisson’s Ratio
2.288572082547551,9.33587327741888,0.18% TiNT
2.700770071811207,10.196050172204213,0.18% TiNT
8.083676805016642,17.5449086744801,0.18% TiNT
9.841597522896997,16.245984545159985,0.18% TiNT
2.288572082547551,1.8881273750278904,0.05% TiNT
2.700770071811207,1.9422589603977711,0.05% TiNT
8.083676805016642,1.688097720177532,0.05% TiNT
9.841597522896997,1.6323163512167562,0.05% TiNT
2.288572082547551,3.6709381026775874,0.33% TiNT
2.700770071811207,3.2885972937998336,0.33% TiNT
8.083676805016642,3.468143773922996,0.33% TiNT
9.841597522896997,3.4771233616676307,0.33% TiNT
2.288572082547551,7.1245782188654445,0.68% TiNT
2.700770071811207,7.095503895341818,0.68% TiNT
8.083676805016642,7.1433032233276,0.68% TiNT
9.841597522896997,10.58863328457263,0.68% TiNT
2.288572082547551,0.49445114466232143,0.83% TiNT
2.700770071811207,-0.07554841992896166,0.83% TiNT
8.083676805016642,0.5153229326715256,0.83% TiNT
9.841597522896997,1.495126592367066,0.83% TiNT
