Frequency (Hz),Pore Volume (cm³/g)
1.9144988403737817,3.360457232001744,0.51% single-walled CNT
7.750473113913388,10.583294802059854,0.51% single-walled CNT
16.202903312189715,204.40453417613327,0.51% single-walled CNT
17.2439118539316,144.37602431606624,0.51% single-walled CNT
17.834696523502206,-117.23650139274672,0.51% single-walled CNT
18.269170485585327,335.91577675774454,0.51% single-walled CNT
1.9144988403737817,-1.3411243660288192,0.08% single-walled CNT
7.750473113913388,-0.27357428492753977,0.08% single-walled CNT
16.202903312189715,7.978911134691144,0.08% single-walled CNT
17.2439118539316,4.962129154544558,0.08% single-walled CNT
17.834696523502206,5.747704066533483,0.08% single-walled CNT
18.269170485585327,3.9799208309766048,0.08% single-walled CNT
1.9144988403737817,-3.8761187387929548,0.68% single-walled CNT
7.750473113913388,-0.9894881890178935,0.68% single-walled CNT
16.202903312189715,-28.53694617250146,0.68% single-walled CNT
17.2439118539316,-317.51115859322994,0.68% single-walled CNT
17.834696523502206,306.30350239087915,0.68% single-walled CNT
18.269170485585327,230.2617028161683,0.68% single-walled CNT
1.9144988403737817,5.75944971392892,0.76% single-walled CNT
7.750473113913388,10.455477781096512,0.76% single-walled CNT
16.202903312189715,13.877939712002641,0.76% single-walled CNT
17.2439118539316,407.8747300898597,0.76% single-walled CNT
17.834696523502206,53.92014793835018,0.76% single-walled CNT
18.269170485585327,456.5971504941267,0.76% single-walled CNT
