Strain,Magnetic Anisotropy (J/m³)
5.1985883201169685,9.375355898324266,PLA
13.577755486502783,14.98968863005994,PLA
14.090478634374989,12.612654338628147,PLA
16.782029182900516,8.230926692822852,PLA
17.897626888284496,7.9592163771065,PLA
19.61992261775113,13.90736410805122,PLA
0,3.840590814902284,PCTFE
1,4.910264268386703,PCTFE
3,5.526974483759856,PCTFE
5,6.64125827776677,PCTFE
8,17.59291276771323,PCTFE
19,69.04014124685975,PCTFE
1,-3.1901140115697557,PA 6(3)T
3,-1.7657465999735131,PA 6(3)T
4,-1.4563343328291491,PA 6(3)T
7,2.753990904759781,PA 6(3)T
8,14.289274335181329,PA 6(3)T
15,158.27871555528856,PA 6(3)T
0,9.121017149461213,Poly(styrene-b-butadiene)
2,8.310637032860408,Poly(styrene-b-butadiene)
9,7.936950343926068,Poly(styrene-b-butadiene)
14,7.883854799348562,Poly(styrene-b-butadiene)
16,7.87826355996044,Poly(styrene-b-butadiene)
18,7.874282792699288,Poly(styrene-b-butadiene)
