Volume Fraction (%),Thermal Resistance (K/W)
0,0.8611141085940688,polyaniline/PBS
1,0.4423368945407641,polyaniline/PBS
3,0.30084915860228745,polyaniline/PBS
11,-0.1695394426684372,polyaniline/PBS
14,-0.19349355022743772,polyaniline/PBS
16,-0.19961601240537008,polyaniline/PBS
0,-1.790581181524367,TPP/PBS
1,-1.902742471140908,TPP/PBS
3,-2.4451248915532453,TPP/PBS
11,-2.7656699848002932,TPP/PBS
14,-2.7867217398280806,TPP/PBS
16,-2.793588885275607,TPP/PBS
0,6.08225514714649,Carbon nanofibers/PBS
1,6.409265929298943,Carbon nanofibers/PBS
3,7.749128810753513,Carbon nanofibers/PBS
11,10.419815960540246,Carbon nanofibers/PBS
14,-11.965509867326292,Carbon nanofibers/PBS
16,223.721965703476,Carbon nanofibers/PBS
0,6.077164627404382,Methoxy(dimethyl)octylsilane/PBS
1,6.113836873409875,Methoxy(dimethyl)octylsilane/PBS
3,5.480487272269258,Methoxy(dimethyl)octylsilane/PBS
11,5.125645463693241,Methoxy(dimethyl)octylsilane/PBS
14,5.101996329909877,Methoxy(dimethyl)octylsilane/PBS
16,5.0960804202744585,Methoxy(dimethyl)octylsilane/PBS
0,-2.3960990786612726,graphene platelet/PBS
1,-2.4894488503933028,graphene platelet/PBS
3,-2.7952347120255228,graphene platelet/PBS
11,-3.125095582109778,graphene platelet/PBS
14,-3.2188384774394994,graphene platelet/PBS
16,-3.2660259245379293,graphene platelet/PBS
