vol% (%),Pore Size (nm)
0,-5.853395374540563,ZnO/PCTFE
2,-6.183491317637515,ZnO/PCTFE
5,-4.814082776020149,ZnO/PCTFE
8,-5.029693470217788,ZnO/PCTFE
11,-3.1789628288374665,ZnO/PCTFE
13,-1.058778430459741,ZnO/PCTFE
17,-5.465298633254566,ZnO/PCTFE
0,-0.551253749839479,Barium strontium titanate/PCTFE
2,-0.7662648078688857,Barium strontium titanate/PCTFE
5,-1.2574057808972294,Barium strontium titanate/PCTFE
8,1.8180999472029056,Barium strontium titanate/PCTFE
11,-0.21222815539628104,Barium strontium titanate/PCTFE
13,4.931290635988333,Barium strontium titanate/PCTFE
17,6.807700819626232,Barium strontium titanate/PCTFE
0,6.721644115947393,graphene nanoplatelets/PCTFE
2,7.2256331715962885,graphene nanoplatelets/PCTFE
5,7.917782158370034,graphene nanoplatelets/PCTFE
8,7.863082944960605,graphene nanoplatelets/PCTFE
11,11.234889525410107,graphene nanoplatelets/PCTFE
13,12.105197806046375,graphene nanoplatelets/PCTFE
17,23.76674705248177,graphene nanoplatelets/PCTFE
0,-4.055199186976909,montmorillonite K-10/PCTFE
2,-3.9300975608610176,montmorillonite K-10/PCTFE
5,-3.267266600798908,montmorillonite K-10/PCTFE
8,-1.7148433827487848,montmorillonite K-10/PCTFE
11,-1.9373871165196705,montmorillonite K-10/PCTFE
13,-2.9653910095792164,montmorillonite K-10/PCTFE
17,-4.567144203746759,montmorillonite K-10/PCTFE
0,-2.533350659336394,Fe2O3/PCTFE
2,-1.892707089994433,Fe2O3/PCTFE
5,-2.0485868270707615,Fe2O3/PCTFE
8,-0.6947130826809937,Fe2O3/PCTFE
11,-0.14967351123737638,Fe2O3/PCTFE
13,-0.02048702762823007,Fe2O3/PCTFE
17,6.840741680648788,Fe2O3/PCTFE
