Thermal Diffusivity (mm²/s),Electrochemical Potential (V)
9,-6.866674107700953,BR
10,-6.876705467534765,BR
11,-6.8979900813735515,BR
9,-5.478735457882057,EVA
10,-4.36425350136666,EVA
11,-2.1996392826587456,EVA
9,17.424213446958447,silicone
10,23.30257823056706,silicone
11,7.5807819727773875,silicone
9,5.023603975498341,PMMA-PnBA-PMMA
10,4.985390893784733,PMMA-PnBA-PMMA
11,4.999448530589372,PMMA-PnBA-PMMA
9,-0.9077721162328226,Poly-trifluoroethylene
10,-0.9939183695986333,Poly-trifluoroethylene
11,-0.9837099121534221,Poly-trifluoroethylene
