Annealing Temperature (°C),Degradation Temperature (°C)
2,5.099707238937723,exfoliated graphite/Nylon 6
9,5.975538635791567,exfoliated graphite/Nylon 6
13,6.315480790919838,exfoliated graphite/Nylon 6
16,0.23303421768769184,exfoliated graphite/Nylon 6
2,-3.6294779853275005,HAF/Nylon 6
9,-4.24806737402435,HAF/Nylon 6
13,-4.2984397171456115,HAF/Nylon 6
16,-4.309038529537839,HAF/Nylon 6
2,6.965516079292726,expanded graphite/Nylon 6
9,6.446653522478133,expanded graphite/Nylon 6
13,6.4005250461911505,expanded graphite/Nylon 6
16,6.390451362898212,expanded graphite/Nylon 6
