Hardness (HV),Bond Strength (MPa)
1.698489917604984,-5.9687972858308855,0.55% Aluminium oxide
3.8207988440640617,-5.063449795420553,0.55% Aluminium oxide
11.134968836316354,-0.7664378152677234,0.55% Aluminium oxide
14.487557534517359,135.22690453785077,0.55% Aluminium oxide
15.157577942149373,77.97245993068645,0.55% Aluminium oxide
1.698489917604984,-3.6564214683546234,0.37% Aluminium oxide
3.8207988440640617,-4.00329180731181,0.37% Aluminium oxide
11.134968836316354,-4.251667254274054,0.37% Aluminium oxide
14.487557534517359,-4.273901590568593,0.37% Aluminium oxide
15.157577942149373,-4.276553504790014,0.37% Aluminium oxide
1.698489917604984,-4.721180313772,0.67% Aluminium oxide
3.8207988440640617,-4.604526734817573,0.67% Aluminium oxide
11.134968836316354,1.3288002396810867,0.67% Aluminium oxide
14.487557534517359,5.087041185626587,0.67% Aluminium oxide
15.157577942149373,3.1665419765475544,0.67% Aluminium oxide
1.698489917604984,0.8732475663788614,0.24% Aluminium oxide
3.8207988440640617,0.5957275449554574,0.24% Aluminium oxide
11.134968836316354,0.3986859142689258,0.24% Aluminium oxide
14.487557534517359,0.34877160681645003,0.24% Aluminium oxide
15.157577942149373,0.3093787455194702,0.24% Aluminium oxide
