Specific Surface Area (m²/g),Crystallinity (%)
0.21161473437264933,-6.540281960702709,0.15% CCTO
1.9334016866087311,-6.693660369561768,0.15% CCTO
4.6189984687105206,-6.96641553226248,0.15% CCTO
9.122171749992136,-7.1681812167990495,0.15% CCTO
12.150610388052963,-7.213242733285085,0.15% CCTO
0.21161473437264933,0.9083607241597735,0.25% CCTO
1.9334016866087311,0.8677842284677131,0.25% CCTO
4.6189984687105206,0.8728632776591914,0.25% CCTO
9.122171749992136,2.374679141211906,0.25% CCTO
12.150610388052963,0.8239121931165072,0.25% CCTO
0.21161473437264933,-4.91707906509918,0.66% CCTO
1.9334016866087311,-5.062666031597039,0.66% CCTO
4.6189984687105206,-5.618666044445038,0.66% CCTO
9.122171749992136,-5.77288434764681,0.66% CCTO
12.150610388052963,-5.815527298695102,0.66% CCTO
0.21161473437264933,3.9517079760668183,0.04% CCTO
1.9334016866087311,3.4307419410628963,0.04% CCTO
4.6189984687105206,3.228948864364841,0.04% CCTO
9.122171749992136,3.045927618459988,0.04% CCTO
12.150610388052963,3.00668951076495,0.04% CCTO
0.21161473437264933,1.6823603701978482,0.41% CCTO
1.9334016866087311,1.68684046742254,0.41% CCTO
4.6189984687105206,3.07471038917325,0.41% CCTO
9.122171749992136,0.9009158401147221,0.41% CCTO
12.150610388052963,6.579738441281135,0.41% CCTO
