Solvent Concentration (M),Bond Strength (MPa)
3.8402814331853308,-5.178337071891634,PA63T
10.747263524693263,-5.56755109081673,PA63T
18.25560611186085,-5.73496642574823,PA63T
3.8402814331853308,6.244440310989823,Poly(ethylene)
10.747263524693263,8.681552552914145,Poly(ethylene)
18.25560611186085,20.809702085363533,Poly(ethylene)
3.8402814331853308,2.197637874471674,Poly(acrylic acid)
10.747263524693263,2.870636722203166,Poly(acrylic acid)
18.25560611186085,15.349905959720575,Poly(acrylic acid)
3.8402814331853308,3.124987405576035,aPP
10.747263524693263,5.148819845336875,aPP
18.25560611186085,14.213227527282418,aPP
