Solvent Concentration (M),Hysteresis Loss (J/m³)
0.10286369915591065,-0.4917127415156206,0.24% magnesium oxide/Poly(BA-a)
4.177082205573521,-0.8839689180030105,0.24% magnesium oxide/Poly(BA-a)
8.34384815220182,-0.9866445580487038,0.24% magnesium oxide/Poly(BA-a)
11.920081065265844,-1.1187989908425835,0.24% magnesium oxide/Poly(BA-a)
12.724076884416862,-1.1470598550103883,0.24% magnesium oxide/Poly(BA-a)
17.400207455685102,-1.2506922244974936,0.24% magnesium oxide/Poly(BA-a)
0.5259674322514774,-0.03398786096761908,0.85% magnesium oxide/Poly(BA-a)
2.200231643594588,-0.46771863981368617,0.85% magnesium oxide/Poly(BA-a)
2.913208279227628,-0.6537756302376702,0.85% magnesium oxide/Poly(BA-a)
4.1921242238666405,-0.5810406266421466,0.85% magnesium oxide/Poly(BA-a)
13.605266024643008,-0.8778818073943032,0.85% magnesium oxide/Poly(BA-a)
19.5323082068921,-0.891384813211262,0.85% magnesium oxide/Poly(BA-a)
0,7.94878841012933,0.12% magnesium oxide/Poly(BA-a)
5,7.818356932732511,0.12% magnesium oxide/Poly(BA-a)
11,7.578716898956195,0.12% magnesium oxide/Poly(BA-a)
14,7.482530399723208,0.12% magnesium oxide/Poly(BA-a)
15,7.4417738973324274,0.12% magnesium oxide/Poly(BA-a)
19,7.3928730436737,0.12% magnesium oxide/Poly(BA-a)
