Crosslinking Density (mol/m³),Young’s Modulus (GPa)
2.1707090478788493,6.010550605571577,carbon black/Poly(ethylene-vinyl acetate)
11.646820105225977,10.160462256648234,carbon black/Poly(ethylene-vinyl acetate)
12.787663349300928,3.8633170256453826,carbon black/Poly(ethylene-vinyl acetate)
15.955663432681877,8.260674440211929,carbon black/Poly(ethylene-vinyl acetate)
17.305347604700355,6.393866299580706,carbon black/Poly(ethylene-vinyl acetate)
2.1707090478788493,-1.6369703784216678,Calcium Carbonate/Poly(ethylene-vinyl acetate)
11.646820105225977,16.890238290316237,Calcium Carbonate/Poly(ethylene-vinyl acetate)
12.787663349300928,78.52557200687234,Calcium Carbonate/Poly(ethylene-vinyl acetate)
15.955663432681877,268.49843821081964,Calcium Carbonate/Poly(ethylene-vinyl acetate)
17.305347604700355,267.69321144940136,Calcium Carbonate/Poly(ethylene-vinyl acetate)
