Solvent Concentration (M),Intrinsic Viscosity (dl/g)
1,-5.320294612816297,0.38% octyldimethylmethoxysilane
6,-5.746872702513071,0.38% octyldimethylmethoxysilane
7,-5.7801645228114555,0.38% octyldimethylmethoxysilane
8,-5.901136378130778,0.38% octyldimethylmethoxysilane
11,-5.975109483075688,0.38% octyldimethylmethoxysilane
14,-6.027952414742497,0.38% octyldimethylmethoxysilane
1,8.78990400417629,0.55% octyldimethylmethoxysilane
6,8.372970517680201,0.55% octyldimethylmethoxysilane
7,8.227430918898063,0.55% octyldimethylmethoxysilane
8,8.245493335731597,0.55% octyldimethylmethoxysilane
11,8.131380795025677,0.55% octyldimethylmethoxysilane
14,8.02481787223499,0.55% octyldimethylmethoxysilane
1,2.1084770965894446,0.81% octyldimethylmethoxysilane
6,3.7522553123676192,0.81% octyldimethylmethoxysilane
7,2.4338270881009088,0.81% octyldimethylmethoxysilane
8,5.041611302496606,0.81% octyldimethylmethoxysilane
11,8.108301299270785,0.81% octyldimethylmethoxysilane
14,4.6641957242794305,0.81% octyldimethylmethoxysilane
