Pressure (Pa),Particle Size (nm)
6.530450569219228,-5.175965487809759,
10.91700382248634,-5.40031340174703,
19.744934483729043,-5.578684843029876,
6.530450569219228,-1.184297772001138,
10.91700382248634,-1.3774932475561787,
19.744934483729043,-1.556022171708387,
6.530450569219228,4.807028241977785,
10.91700382248634,32.24867662510804,
19.744934483729043,-360.3276299840458,
6.530450569219228,4.134949941706891,
10.91700382248634,3.915596746993147,
19.744934483729043,3.7093830103633256,
6.530450569219228,-1.55574464775561,
10.91700382248634,-1.664911762719032,
19.744934483729043,-1.698897705068326,
