Electron Beam Dose (Gy),Dynamic Viscosity (Pa·s)
4,0.6616767961601164,silica gel/IMPP
6,1.557060009026893,silica gel/IMPP
8,9.415709555130285,silica gel/IMPP
9,24.555873687009075,silica gel/IMPP
12,88.67429307783078,silica gel/IMPP
18,340.8563335917702,silica gel/IMPP
4,-0.1727923576095476,polyaniline/IMPP
6,1.3018998184305497,polyaniline/IMPP
8,8.744240159874767,polyaniline/IMPP
9,-1.0757707992923216,polyaniline/IMPP
12,29.95220405296044,polyaniline/IMPP
18,660.6004584491377,polyaniline/IMPP
4,-1.3979217979797904,Fe3O4/IMPP
6,-1.5049943885724975,Fe3O4/IMPP
8,-1.6604895484042714,Fe3O4/IMPP
9,-1.7021423634207185,Fe3O4/IMPP
12,-1.7550056978830597,Fe3O4/IMPP
18,-1.928704570863262,Fe3O4/IMPP
4,2.5643292764210237,graphite nanoplatelets/IMPP
6,2.4019882225946287,graphite nanoplatelets/IMPP
8,2.258044887398559,graphite nanoplatelets/IMPP
9,2.177823765991037,graphite nanoplatelets/IMPP
12,2.1338139948176313,graphite nanoplatelets/IMPP
18,1.9879912144589054,graphite nanoplatelets/IMPP
