Film Thickness (µm),Glass Transition Temperature (°C)
2,8.223154917892309,0.81% octyldimethylmethoxysilane/Poly(butylene)
5,7.785829131710293,0.81% octyldimethylmethoxysilane/Poly(butylene)
13,7.602477088750066,0.81% octyldimethylmethoxysilane/Poly(butylene)
18,7.586057448609621,0.81% octyldimethylmethoxysilane/Poly(butylene)
2,-6.06589074604978,0.63% octyldimethylmethoxysilane/Poly(butylene)
5,-6.038943479070659,0.63% octyldimethylmethoxysilane/Poly(butylene)
13,-6.33644128787518,0.63% octyldimethylmethoxysilane/Poly(butylene)
18,-6.435327085553621,0.63% octyldimethylmethoxysilane/Poly(butylene)
2,-6.9409884327420865,0.6% octyldimethylmethoxysilane/Poly(butylene)
5,-7.219666893021956,0.6% octyldimethylmethoxysilane/Poly(butylene)
13,-7.399911817555491,0.6% octyldimethylmethoxysilane/Poly(butylene)
18,-7.414890645932765,0.6% octyldimethylmethoxysilane/Poly(butylene)
2,8.731803361338853,0.49% octyldimethylmethoxysilane/Poly(butylene)
5,9.122430507238953,0.49% octyldimethylmethoxysilane/Poly(butylene)
13,10.585871792948913,0.49% octyldimethylmethoxysilane/Poly(butylene)
18,23.84648354457031,0.49% octyldimethylmethoxysilane/Poly(butylene)
