Thickness (µm),Galvanic Potential (V)
0.011158976135241527,1.0950530232803017,0.18% carbon nanofibers
10.006962216639206,0.23654721437106777,0.18% carbon nanofibers
12.112837140873395,0.21034527463454325,0.18% carbon nanofibers
15.400341448537791,0.19479889415964738,0.18% carbon nanofibers
17.510927948367325,0.19032715418962587,0.18% carbon nanofibers
0.011158976135241527,-0.6320100231373633,0.53% carbon nanofibers
10.006962216639206,-1.4908534205255322,0.53% carbon nanofibers
12.112837140873395,-1.5129297878850632,0.53% carbon nanofibers
15.400341448537791,-1.5317452182447902,0.53% carbon nanofibers
17.510927948367325,-1.5367542008680006,0.53% carbon nanofibers
0.011158976135241527,7.2183013700809235,0.05% carbon nanofibers
10.006962216639206,6.493823774008603,0.05% carbon nanofibers
12.112837140873395,6.498554093634682,0.05% carbon nanofibers
15.400341448537791,6.359083691844582,0.05% carbon nanofibers
17.510927948367325,6.332582481077956,0.05% carbon nanofibers
0.011158976135241527,-3.261887664997197,0.89% carbon nanofibers
10.006962216639206,-0.21247886424969664,0.89% carbon nanofibers
12.112837140873395,-0.0415538259310706,0.89% carbon nanofibers
15.400341448537791,1.7908209293945578,0.89% carbon nanofibers
17.510927948367325,3.5735654145389777,0.89% carbon nanofibers
0.011158976135241527,-0.39024428276206213,0.18% carbon nanofibers
10.006962216639206,-0.9098045599389628,0.18% carbon nanofibers
12.112837140873395,-0.9634860121839696,0.18% carbon nanofibers
15.400341448537791,-1.0789027903671748,0.18% carbon nanofibers
17.510927948367325,-1.1129845973318426,0.18% carbon nanofibers
