Holding Time (min),Flexural Modulus (GPa)
1.2425353146475837,2.116699871291841,0.58% Fullerene
2.6001499125759264,4.098219945706881,0.58% Fullerene
9.246133404760574,26.252990564508544,0.58% Fullerene
11.035521659857508,17.710207618444826,0.58% Fullerene
18.568809438798233,350.5991654514847,0.58% Fullerene
1.2425353146475837,-2.67491931160112,0.87% Fullerene
2.6001499125759264,-2.6895613289968603,0.87% Fullerene
9.246133404760574,-2.911403349013738,0.87% Fullerene
11.035521659857508,-2.99508356010158,0.87% Fullerene
18.568809438798233,-3.1853855220554963,0.87% Fullerene
1.2425353146475837,0.5435727739545835,0.98% Fullerene
2.6001499125759264,2.065117342599695,0.98% Fullerene
9.246133404760574,11.891360177796964,0.98% Fullerene
11.035521659857508,33.28208040813053,0.98% Fullerene
18.568809438798233,190.0204430622556,0.98% Fullerene
