Ultrasound Time (min),Elastic Modulus (GPa)
0,-6.134548353364659,0.13% PVA/Poly(acrylic acid)
3,-6.124871789365223,0.13% PVA/Poly(acrylic acid)
11,-6.938346627329701,0.13% PVA/Poly(acrylic acid)
13,-0.49657150732288535,0.13% PVA/Poly(acrylic acid)
18,-6.641584939614716,0.13% PVA/Poly(acrylic acid)
1.7476057310089232,5.4605496067034895,0.9% PVA/Poly(acrylic acid)
2.138286837407384,5.058990586273781,0.9% PVA/Poly(acrylic acid)
2.880586560966756,4.8881610026972675,0.9% PVA/Poly(acrylic acid)
12.636412881652348,4.620385234233234,0.9% PVA/Poly(acrylic acid)
14.438331205652094,4.529597715247725,0.9% PVA/Poly(acrylic acid)
4,4.095044221074991,0.64% PVA/Poly(acrylic acid)
7,4.788720228905481,0.64% PVA/Poly(acrylic acid)
9,5.754464140792797,0.64% PVA/Poly(acrylic acid)
14,5.581615909025302,0.64% PVA/Poly(acrylic acid)
16,8.460677395439431,0.64% PVA/Poly(acrylic acid)
