Specific Heat Capacity (J/(g·K)),Magnetic Anisotropy (J/m³)
3.89969647600124,5.283421484307213,0.97% multi-walled CNTs/Poly(2-vinyl pyridine)
4.46363398804648,6.101877411598842,0.97% multi-walled CNTs/Poly(2-vinyl pyridine)
6.13028620247486,7.724497344025959,0.97% multi-walled CNTs/Poly(2-vinyl pyridine)
7.077415963007354,11.887770162283715,0.97% multi-walled CNTs/Poly(2-vinyl pyridine)
11.172597860179529,30.037095649502874,0.97% multi-walled CNTs/Poly(2-vinyl pyridine)
17.55137831025421,310.37934924486683,0.97% multi-walled CNTs/Poly(2-vinyl pyridine)
3.89969647600124,-2.734684071257982,0.55% multi-walled CNTs/Poly(2-vinyl pyridine)
4.46363398804648,-2.7492726592520693,0.55% multi-walled CNTs/Poly(2-vinyl pyridine)
6.13028620247486,-2.946284096944267,0.55% multi-walled CNTs/Poly(2-vinyl pyridine)
7.077415963007354,-2.8903697482546904,0.55% multi-walled CNTs/Poly(2-vinyl pyridine)
11.172597860179529,-3.052147950357157,0.55% multi-walled CNTs/Poly(2-vinyl pyridine)
17.55137831025421,-3.245501149621964,0.55% multi-walled CNTs/Poly(2-vinyl pyridine)
3.89969647600124,2.4703376929619743,0.37% multi-walled CNTs/Poly(2-vinyl pyridine)
4.46363398804648,4.473310036381162,0.37% multi-walled CNTs/Poly(2-vinyl pyridine)
6.13028620247486,7.737357728647553,0.37% multi-walled CNTs/Poly(2-vinyl pyridine)
7.077415963007354,11.179878785425148,0.37% multi-walled CNTs/Poly(2-vinyl pyridine)
11.172597860179529,37.60473590862821,0.37% multi-walled CNTs/Poly(2-vinyl pyridine)
17.55137831025421,337.525862939334,0.37% multi-walled CNTs/Poly(2-vinyl pyridine)
