Exposure Time (h),Thermal Conductivity (W/(m·K))
3,7.50238186195015,S-SBR
5,7.264616437681392,S-SBR
12,7.076573693910847,S-SBR
14,7.065374500502394,S-SBR
17,7.056140176213211,S-SBR
3,-3.9611554987714968,Poly(styrene-co-acrylonitrile)
5,-3.6563441156643792,Poly(styrene-co-acrylonitrile)
12,-1.9468202765939822,Poly(styrene-co-acrylonitrile)
14,0.837144192680471,Poly(styrene-co-acrylonitrile)
17,1.9437584605499554,Poly(styrene-co-acrylonitrile)
3,-7.535088124767886,Polychlorotrifluoroethylene
5,-7.690947488639644,Polychlorotrifluoroethylene
12,-7.921879420577129,Polychlorotrifluoroethylene
14,-7.9337908276182585,Polychlorotrifluoroethylene
17,-7.942669082847298,Polychlorotrifluoroethylene
3,9.613214127337336,PBI
5,9.496062714558224,PBI
12,9.488143588731218,PBI
14,6.913674499765842,PBI
17,11.345536134336502,PBI
