Loading Concentration (%),Heat Of Fusion (J/g)
0,-2.8030466394717837,
5,-3.357080912048566,
8,-3.4891715546889284,
11,-3.533725753493996,
0,-0.6507365695346612,
5,-1.1461345743905451,
8,-1.2829000004651598,
11,-1.330777834164656,
0,3.2686310332804323,
5,2.7654510891000808,
8,2.636040276964657,
11,2.42576973182691,
0,2.195872671790647,
5,1.5014955066967888,
8,1.3615251662695065,
11,1.3116563111270207,
0,4.330167042032595,
5,3.960439939856251,
8,3.8213970004837687,
11,3.7105192383985757,
