Drying Temperature (°C),Modulus Of Elasticity (GPa)
3.5326328930387563,-2.6049076851471322,0.7% dodecylbenzene sulfonic acid
3.665669037911914,-2.6714695061349834,0.7% dodecylbenzene sulfonic acid
4.08055720906958,-2.700932460300457,0.7% dodecylbenzene sulfonic acid
6.905747359713644,-2.8841966628747437,0.7% dodecylbenzene sulfonic acid
11.86930702342831,-2.988741156279244,0.7% dodecylbenzene sulfonic acid
14.805549528570484,-3.004366651781088,0.7% dodecylbenzene sulfonic acid
18.000485517690635,-3.012070123100385,0.7% dodecylbenzene sulfonic acid
1.6975349101453863,8.081193332558298,0.85% dodecylbenzene sulfonic acid
5.127531683312297,7.891377302133549,0.85% dodecylbenzene sulfonic acid
11.636493642805714,7.472148632916373,0.85% dodecylbenzene sulfonic acid
12.50120505121922,7.448090816335195,0.85% dodecylbenzene sulfonic acid
12.933986915605264,7.453632269038761,0.85% dodecylbenzene sulfonic acid
13.393960425704597,7.42186765040841,0.85% dodecylbenzene sulfonic acid
18.1601533773684,7.324165692273927,0.85% dodecylbenzene sulfonic acid
3.7370998658298626,-0.6699250169006925,0.85% dodecylbenzene sulfonic acid
7.107854794257689,-0.9078362742516194,0.85% dodecylbenzene sulfonic acid
7.2621024629277375,-0.8425701651539487,0.85% dodecylbenzene sulfonic acid
9.699470880922183,-0.9906398584383845,0.85% dodecylbenzene sulfonic acid
9.94190576799203,-0.9807005126595261,0.85% dodecylbenzene sulfonic acid
12.799691986795366,-1.0905988359967411,0.85% dodecylbenzene sulfonic acid
19.403676058238144,-1.2308420095616786,0.85% dodecylbenzene sulfonic acid
3,2.769234161886276,0.49% dodecylbenzene sulfonic acid
4,1.9588357078263514,0.49% dodecylbenzene sulfonic acid
5,2.024121047195437,0.49% dodecylbenzene sulfonic acid
6,2.4122960946129464,0.49% dodecylbenzene sulfonic acid
9,1.807023418615698,0.49% dodecylbenzene sulfonic acid
10,4.063953019296069,0.49% dodecylbenzene sulfonic acid
11,2.2921549677512285,0.49% dodecylbenzene sulfonic acid
