Thickness (µm),Electronic Conductivity (S/m)
9.00830794086087,3.3456324763059873,TGDDM
11.861614738305928,5.387688900037761,TGDDM
16.290634213579356,4.623308354532329,TGDDM
9.00830794086087,1.3101517082633611,Poly(propylene)
11.861614738305928,-2.3120005323210218,Poly(propylene)
16.290634213579356,15.880469737789086,Poly(propylene)
9.00830794086087,-2.6354900875041487,PPSF
11.861614738305928,-2.683769009557759,PPSF
16.290634213579356,-2.7053108382550644,PPSF
9.00830794086087,-2.2225781841905032,PAA
11.861614738305928,-2.269963500025985,PAA
16.290634213579356,-2.2917977175573783,PAA
9.00830794086087,1.9039798285050709,PMA
11.861614738305928,1.8663299492463443,PMA
16.290634213579356,1.8443401779738655,PMA
