Holding Time (min),Thermal Conductivity (W/(m·K))
3,8.57175100722185,0.59% Paraffinum liquidum
6,8.521519932742942,0.59% Paraffinum liquidum
7,8.5280888987306,0.59% Paraffinum liquidum
9,8.382573306680749,0.59% Paraffinum liquidum
14,8.220825790429306,0.59% Paraffinum liquidum
3,7.55554035152137,0.9% Paraffinum liquidum
6,7.369788665921479,0.9% Paraffinum liquidum
7,7.366712366023546,0.9% Paraffinum liquidum
9,7.252583634118142,0.9% Paraffinum liquidum
14,7.0981942561525235,0.9% Paraffinum liquidum
