Incubation Temperature (°C),Pore Volume (cm³/g)
3.567926653224611,-2.183924600881933,0.17% MMT
6.115002152732016,4.012938124369212,0.17% MMT
6.743031370040288,1.169228725773281,0.17% MMT
3.567926653224611,-5.145532514528975,0.25% MMT
6.115002152732016,-1.427446802020845,0.25% MMT
6.743031370040288,-1.9160592158563796,0.25% MMT
3.567926653224611,8.647411735208097,0.19% MMT
6.115002152732016,8.445308925700246,0.19% MMT
6.743031370040288,7.913925449778492,0.19% MMT
3.567926653224611,3.0765874671278324,0.08% MMT
6.115002152732016,5.078460066683354,0.08% MMT
6.743031370040288,6.267487102081617,0.08% MMT
