Crystallization Temperature (°C),Tensile Modulus (GPa)
6.302177875080304,13.73998616781822,0.34% cellulose nanowhiskers/PA 12
8.687290173960918,12.741131142745695,0.34% cellulose nanowhiskers/PA 12
9.294476858992319,15.366242777809829,0.34% cellulose nanowhiskers/PA 12
11.625979088128704,52.13310958452628,0.34% cellulose nanowhiskers/PA 12
15.359695730234614,63.65259916688534,0.34% cellulose nanowhiskers/PA 12
6.302177875080304,16.7436757187625,0.73% cellulose nanowhiskers/PA 12
8.687290173960918,28.668156404624302,0.73% cellulose nanowhiskers/PA 12
9.294476858992319,17.761435064040253,0.73% cellulose nanowhiskers/PA 12
11.625979088128704,24.587320893114367,0.73% cellulose nanowhiskers/PA 12
15.359695730234614,-19.35222881340672,0.73% cellulose nanowhiskers/PA 12
6.302177875080304,7.048597859775275,0.1% cellulose nanowhiskers/PA 12
8.687290173960918,6.956242716301646,0.1% cellulose nanowhiskers/PA 12
9.294476858992319,6.948787834191929,0.1% cellulose nanowhiskers/PA 12
11.625979088128704,6.911072451163745,0.1% cellulose nanowhiskers/PA 12
15.359695730234614,6.891735481015533,0.1% cellulose nanowhiskers/PA 12
