Coefficient Of Thermal Expansion (1/K),Dielectric Loss
7.343349658182183,3.1453336832142336,
10.506996207474637,3.0464421887868736,
14.91444713692497,2.924950795432995,
16.71910965660868,2.8943060866267403,
7.343349658182183,2.4980236684243793,
10.506996207474637,2.416528751207775,
14.91444713692497,2.386112977945944,
16.71910965660868,2.381659400258178,
7.343349658182183,5.356930672959018,
10.506996207474637,5.254097228398091,
14.91444713692497,5.123880880243647,
16.71910965660868,5.0942758534423325,
7.343349658182183,2.393416676305415,
10.506996207474637,2.3226186469223875,
14.91444713692497,2.2952178097925886,
16.71910965660868,2.29103484681748,
