Drying Temperature (°C),Young’s Modulus (GPa)
2,-0.27236349290467166,
3,-0.5779139706496568,
4,-0.6684925381310525,
8,-0.8950923364993717,
12,-0.9671259724400251,
14,-0.9764341720586271,
18,-0.9876439986346812,
2,2.2403310012682773,
3,2.226201644791855,
4,2.0258152560050875,
8,1.8719301981988046,
12,1.8019351292939714,
14,1.7910965413188762,
18,1.780366710773018,
2,5.3989653658110575,
3,6.5688733808919535,
4,4.936874232665046,
8,14.547746224968115,
12,72.33614055016146,
14,76.30371090650752,
18,135.98931715118758,
