pH,Viscosity (Pa·s)
6,-3.6514001827430556,0.95% Alumina/BECy
12,-2.2797662273110033,0.95% Alumina/BECy
14,-1.6627871859914922,0.95% Alumina/BECy
16,-0.019587923292330167,0.95% Alumina/BECy
6,7.470509668194319,0.5% Alumina/BECy
12,7.29812800041816,0.5% Alumina/BECy
14,7.234968960517166,0.5% Alumina/BECy
16,7.186321573332042,0.5% Alumina/BECy
6,1.5641490506690539,0.36% Alumina/BECy
12,1.4283575077029065,0.36% Alumina/BECy
14,1.4167354501685894,0.36% Alumina/BECy
16,1.4096871274541645,0.36% Alumina/BECy
6,1.321647090142562,0.35% Alumina/BECy
12,1.1820943462378315,0.35% Alumina/BECy
14,1.171628297990278,0.35% Alumina/BECy
16,1.1632700177837931,0.35% Alumina/BECy
6,11.690233535715988,0.25% Alumina/BECy
12,54.383194277477905,0.25% Alumina/BECy
14,102.44871677300125,0.25% Alumina/BECy
16,-24.99036332249765,0.25% Alumina/BECy
