Aging Temperature (°C),Specific Heat (J/(g·K))
4.1754258562795705,-2.9560127337577633,Alumina/Poly(ethylene terephthalate)
7.855627620604508,0.8838134567602403,Alumina/Poly(ethylene terephthalate)
17.115207755833957,107.89971426178462,Alumina/Poly(ethylene terephthalate)
18.059702237098556,794.7144550175592,Alumina/Poly(ethylene terephthalate)
18.443208697893077,436.3924777945139,Alumina/Poly(ethylene terephthalate)
4.1754258562795705,1.0560420979614498,Synthetic fluorine mica/Poly(ethylene terephthalate)
7.855627620604508,7.829756972779032,Synthetic fluorine mica/Poly(ethylene terephthalate)
17.115207755833957,248.90507377302896,Synthetic fluorine mica/Poly(ethylene terephthalate)
18.059702237098556,302.3072854345203,Synthetic fluorine mica/Poly(ethylene terephthalate)
18.443208697893077,327.32270945567,Synthetic fluorine mica/Poly(ethylene terephthalate)
4.1754258562795705,11.284818060305001,titanium dioxide/Poly(ethylene terephthalate)
7.855627620604508,21.40024991536042,titanium dioxide/Poly(ethylene terephthalate)
17.115207755833957,122.74026248173449,titanium dioxide/Poly(ethylene terephthalate)
18.059702237098556,843.8759593489705,titanium dioxide/Poly(ethylene terephthalate)
18.443208697893077,322.70827922705257,titanium dioxide/Poly(ethylene terephthalate)
