Evaporation Temperature (°C),Bulk Modulus (GPa)
4.445823439042562,2.8246158698505512,0.73% Cellulose
9.068757301821764,26.215031523707296,0.73% Cellulose
15.425356902725778,66.56078666352684,0.73% Cellulose
17.134663831213196,4.980708794775445,0.73% Cellulose
4.445823439042562,3.5535328645674396,0.5% Cellulose
9.068757301821764,3.306176341576365,0.5% Cellulose
15.425356902725778,3.265242054199922,0.5% Cellulose
17.134663831213196,3.260461227346065,0.5% Cellulose
4.445823439042562,-0.7299850062537345,0.28% Cellulose
9.068757301821764,0.6376792483815699,0.28% Cellulose
15.425356902725778,8.42360437503811,0.28% Cellulose
17.134663831213196,-5.419995372170048,0.28% Cellulose
